ons_code,name,mp,percsigned,Remain,polParty,EER17CD,EER17NM,partyColour
E14000530,Aldershot,Leo Docherty MP,2.094613335,42.1,Conservative,E15000008,South East,#0087DC
E14000531,Aldridge-Brownhills,Wendy Morton MP,0.907778669,32.2,Conservative,E15000005,West Midlands,#0087DC
E14000532,Altrincham and Sale West,Sir Graham Brady MP,3.614473429,61.4,Conservative,E15000002,North West,#0087DC
E14000533,Amber Valley,Nigel Mills MP,1.182726438,34.7,Conservative,E15000004,East Midlands,#0087DC
E14000534,Arundel and South Downs,Rt Hon Nick Herbert MP,3.177234934,50.3,Conservative,E15000008,South East,#0087DC
E14000535,Ashfield,Gloria De Piero MP,0.853992206,29.5,Labour,E15000004,East Midlands,#DC241f
E14000536,Ashford,Rt Hon Damian Green MP,2.128861091,40.1,Conservative,E15000008,South East,#0087DC
E14000537,Ashton-under-Lyne,Angela Rayner MP,1.293439519,38.2,Labour,E15000002,North West,#DC241f
E14000538,Aylesbury,Rt Hon David Lidington MP,2.22824515,48.2,Conservative,E15000008,South East,#0087DC
E14000539,Banbury,Victoria Prentis MP,2.97174322,49.7,Conservative,E15000008,South East,#0087DC
E14000540,Barking,Rt Hon Dame Margaret Hodge MP,0.876876629,40,Labour,E15000007,London,#DC241f
E14000541,Barnsley Central,Dan Jarvis MP,0.895982664,31.8,Labour,E15000003,Yorkshire and The Humber,#DC241f
E14000542,Barnsley East,Stephanie Peacock MP,0.688067254,29,Labour,E15000003,Yorkshire and The Humber,#DC241f
E14000543,Barrow and Furness,John Woodcock MP,1.424704374,42.7,Independent,E15000002,North West,#DDDDDD
E14000544,Basildon and Billericay,Mr John Baron MP,1.410165226,32.9,Conservative,E15000006,Eastern,#0087DC
E14000545,Basingstoke,Rt Hon Maria Miller MP,2.500028255,46.4,Conservative,E15000008,South East,#0087DC
E14000546,Bassetlaw,John Mann MP,0.97546729,31.7,Labour,E15000004,East Midlands,#DC241f
E14000547,Bath,Wera Hobhouse MP,5.617209744,68.3,Liberal Democrat,E15000009,South West,#FAA61A
E14000548,Batley and Spen,Tracy Brabin MP,1.0121934,40.4,Labour,E15000003,Yorkshire and The Humber,#DC241f
E14000549,Battersea,Marsha De Cordova MP,5.439563323,78,Labour,E15000007,London,#DC241f
E14000550,Beaconsfield,Rt Hon Dominic Grieve QC MP,2.896347163,51,Conservative,E15000008,South East,#0087DC
E14000551,Beckenham,Bob Stewart MP,3.602995842,53.4,Conservative,E15000007,London,#0087DC
E14000552,Bedford,Mohammad Yasin MP,2.017953673,48.1,Labour,E15000006,Eastern,#DC241f
E14000553,Bermondsey and Old Southwark,Neil Coyle MP,5.070046137,73.9,Labour,E15000007,London,#DC241f
E14000554,Berwick-upon-Tweed,Anne-Marie Trevelyan MP,1.923928165,44.7,Conservative,E15000001,North East,#0087DC
E14000555,Bethnal Green and Bow,Rushanara Ali MP,5.02044055,69.1,Labour,E15000007,London,#DC241f
E14000556,Beverley and Holderness,Graham Stuart MP,1.531065539,41.3,Conservative,E15000003,Yorkshire and The Humber,#0087DC
E14000557,Bexhill and Battle,Huw Merriman MP,2.156346678,42.3,Conservative,E15000008,South East,#0087DC
E14000558,Bexleyheath and Crayford,Rt Hon Sir David Evennett MP,1.528505308,34.7,Conservative,E15000007,London,#0087DC
E14000559,Birkenhead,Rt Hon Frank Field MP,1.886440313,48.3,Independent,E15000002,North West,#DDDDDD
E14000560,"Birmingham, Edgbaston",Preet Kaur Gill MP,2.120503424,52.7,Labour,E15000005,West Midlands,#DC241f
E14000561,"Birmingham, Erdington",Jack Dromey MP,0.909043821,37,Labour,E15000005,West Midlands,#DC241f
E14000562,"Birmingham, Hall Green",Mr Roger Godsiff MP,2.177358231,66.4,Labour,E15000005,West Midlands,#DC241f
E14000563,"Birmingham, Hodge Hill",Rt Hon Liam Byrne MP,0.407143518,48.5,Labour,E15000005,West Midlands,#DC241f
E14000564,"Birmingham, Ladywood",Shabana Mahmood MP,1.305839423,64.4,Labour,E15000005,West Midlands,#DC241f
E14000565,"Birmingham, Northfield",Richard Burden MP,1.471021265,38.2,Labour,E15000005,West Midlands,#DC241f
E14000566,"Birmingham, Perry Barr",Mr Khalid Mahmood MP,0.611000423,48.8,Labour,E15000005,West Midlands,#DC241f
E14000567,"Birmingham, Selly Oak",Steve McCabe MP,2.733898968,53.1,Labour,E15000005,West Midlands,#DC241f
E14000568,"Birmingham, Yardley",Jess Phillips MP,0.895649528,39.9,Labour,E15000005,West Midlands,#DC241f
E14000569,Bishop Auckland,Helen Goodman MP,1.197646534,39.1,Labour,E15000001,North East,#DC241f
E14000570,Blackburn,Kate Hollern MP,0.703583721,46.3,Labour,E15000002,North West,#DC241f
E14000571,Blackley and Broughton,Graham Stringer MP,1.33890539,50,Labour,E15000002,North West,#DC241f
E14000572,Blackpool North and Cleveleys,Paul Maynard MP,1.068049139,33.1,Conservative,E15000002,North West,#0087DC
E14000573,Blackpool South,Gordon Marsden MP,0.824293633,32.2,Labour,E15000002,North West,#DC241f
E14000574,Blaydon,Liz Twist MP,1.901614552,43.9,Labour,E15000001,North East,#DC241f
E14000575,Blyth Valley,Mr Ronnie Campbell MP,1.335514575,39.5,Labour,E15000001,North East,#DC241f
E14000576,Bognor Regis and Littlehampton,Rt Hon Nick Gibb MP,1.45643393,35.2,Conservative,E15000008,South East,#0087DC
E14000577,Bolsover,Mr Dennis Skinner MP,0.956622969,29.6,Labour,E15000004,East Midlands,#DC241f
E14000578,Bolton North East,Sir David Crausby MP,1.195166099,41.9,Labour,E15000002,North West,#DC241f
E14000579,Bolton South East,Yasmin Qureshi MP,0.710691099,37,Labour,E15000002,North West,#DC241f
E14000580,Bolton West,Chris Green MP,1.529873344,44.4,Conservative,E15000002,North West,#0087DC
E14000581,Bootle,Peter Dowd MP,1.998066387,45.2,Labour,E15000002,North West,#DC241f
E14000582,Boston and Skegness,Matt Warman MP,0.576216686,24.4,Conservative,E15000004,East Midlands,#0087DC
E14000583,Bosworth,David Tredinnick MP,1.600496871,39.2,Conservative,E15000004,East Midlands,#0087DC
E14000584,Bournemouth East,Rt Hon Tobias Ellwood MP,2.483713355,46.3,Conservative,E15000009,South West,#0087DC
E14000585,Bournemouth West,Conor Burns MP,2.022892438,42.3,Conservative,E15000009,South West,#0087DC
E14000586,Bracknell,Dr Phillip Lee MP,2.49861711,46.8,Conservative,E15000008,South East,#0087DC
E14000587,Bradford East,Imran Hussain MP,0.850358918,44.8,Labour,E15000003,Yorkshire and The Humber,#DC241f
E14000588,Bradford South,Judith Cummins MP,0.79107347,36.4,Labour,E15000003,Yorkshire and The Humber,#DC241f
E14000589,Bradford West,Naz Shah MP,0.729717444,53.3,Labour,E15000003,Yorkshire and The Humber,#DC241f
E14000590,Braintree,James Cleverly MP,1.606844479,38.5,Conservative,E15000006,Eastern,#0087DC
