"ons_code","name","mp","percsigned","Remain","polParty","EER17CD","EER17NM","partyColour"
"E14000530","Aldershot","Leo Docherty MP",8.91145224112774,42.1,"Conservative","E15000008","South East","#0087DC"
"E14000531","Aldridge-Brownhills","Wendy Morton MP",4.71531676022454,32.2,"Conservative","E15000005","West Midlands","#0087DC"
"E14000532","Altrincham and Sale West","Sir Graham Brady MP",16.8942973655253,61.4,"Conservative","E15000002","North West","#0087DC"
"E14000533","Amber Valley","Nigel Mills MP",5.50248742582263,34.7,"Conservative","E15000004","East Midlands","#0087DC"
"E14000534","Arundel and South Downs","Rt Hon Nick Herbert MP",15.3163111160237,50.3,"Conservative","E15000008","South East","#0087DC"
"E14000535","Ashfield","Gloria De Piero MP",3.9584493112393,29.5,"Labour","E15000004","East Midlands","#DC241f"
"E14000536","Ashford","Rt Hon Damian Green MP",9.39128211138696,40.1,"Conservative","E15000008","South East","#0087DC"
"E14000537","Ashton-under-Lyne","Angela Rayner MP",5.40209400757407,38.2,"Labour","E15000002","North West","#DC241f"
"E14000538","Aylesbury","Rt Hon David Lidington MP",10.5509550387265,48.2,"Conservative","E15000008","South East","#0087DC"
"E14000539","Banbury","Victoria Prentis MP",12.6414677973582,49.7,"Conservative","E15000008","South East","#0087DC"
"E14000540","Barking","Rt Hon Dame Margaret Hodge MP",5.65281455759462,40,"Labour","E15000007","London","#DC241f"
"E14000541","Barnsley Central","Dan Jarvis MP",4.23959548813691,31.8,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000542","Barnsley East","Stephanie Peacock MP",3.19134695188884,29,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000543","Barrow and Furness","John Woodcock MP",6.54936600655364,42.7,"Independent","E15000002","North West","#DDDDDD"
"E14000544","Basildon and Billericay","Mr John Baron MP",6.87028121238647,32.9,"Conservative","E15000006","Eastern","#0087DC"
"E14000545","Basingstoke","Rt Hon Maria Miller MP",10.6624170707173,46.4,"Conservative","E15000008","South East","#0087DC"
"E14000546","Bassetlaw","John Mann MP",4.65420560747664,31.7,"Labour","E15000004","East Midlands","#DC241f"
"E14000547","Bath","Wera Hobhouse MP",22.8206263840557,68.3,"Liberal Democrat","E15000009","South West","#FAA61A"
"E14000548","Batley and Spen","Tracy Brabin MP",4.7961489572054,40.4,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000549","Battersea","Marsha De Cordova MP",25.4605573925366,78,"Labour","E15000007","London","#DC241f"
"E14000550","Beaconsfield","Rt Hon Dominic Grieve QC MP",14.3284437742245,51,"Conservative","E15000008","South East","#0087DC"
"E14000551","Beckenham","Bob Stewart MP",16.3394553514883,53.4,"Conservative","E15000007","London","#0087DC"
"E14000552","Bedford","Mohammad Yasin MP",9.36697404789277,48.1,"Labour","E15000006","Eastern","#DC241f"
"E14000553","Bermondsey and Old Southwark","Neil Coyle MP",20.8852621582782,73.9,"Labour","E15000007","London","#DC241f"
"E14000554","Berwick-upon-Tweed","Anne-Marie Trevelyan MP",8.25692424434046,44.7,"Conservative","E15000001","North East","#0087DC"
"E14000555","Bethnal Green and Bow","Rushanara Ali MP",20.8295240888,69.1,"Labour","E15000007","London","#DC241f"
"E14000556","Beverley and Holderness","Graham Stuart MP",7.26951865149394,41.3,"Conservative","E15000003","Yorkshire and The Humber","#0087DC"
"E14000557","Bexhill and Battle","Huw Merriman MP",10.2495728863647,42.3,"Conservative","E15000008","South East","#0087DC"
"E14000558","Bexleyheath and Crayford","Rt Hon Sir David Evennett MP",7.13117707380616,34.7,"Conservative","E15000007","London","#0087DC"
"E14000559","Birkenhead","Rt Hon Frank Field MP",8.42868422941641,48.3,"Independent","E15000002","North West","#DDDDDD"
